__OBJECTID,PUBLIC WATER SYSTEM ID,Water System Name,Status,Principal County Served,Primary Source Water Type,Longitude,Latitude,attribute_7,Note,attribute_9,x,y
1,KY0011016,COLUMBIA/ADAIR UTILITIES DISTRICT,A,ADAIR,SW,-85.29938,37.11866,,SW,,-85.2993800307049,37.11865998333
2,KY0020956,ALLEN COUNTY WATER DISTRICT,A,ALLEN,SWP,-86.2133532,36.7552186,,SWP,,-86.2133532197212,36.7552186201027
3,KY0020386,SCOTTSVILLE WATER DEPARTMENT,A,ALLEN,SW,-86.1915,36.75351,,GW,,-86.191499993636,36.7535100350067
4,KY0030239,LAWRENCEBURG WATER & SEWER DEPT,A,ANDERSON,SW,-84.89608,38.03734,,GWP,,-84.8960800364265,38.037340026346
5,KY0030660,SOUTH ANDERSON WATER DISTRICT,A,ANDERSON,SWP,-84.925295,38.01542,,A,,-84.9252949562651,38.0154199944757
6,KY0030660,SO ANDERSON WATER DISTRICT,A,ANDERSON,SWP,-84.89608,38.037338,,,,-84.8960800364265,38.0373379745336
7,KY0040020,BARLOW WATER SYSTEM,A,BALLARD,GW,-89.040807,37.051376,,,,-89.0408070443575,37.0513759961667
8,KY0040223,KEVIL WATER DEPARTMENT,A,BALLARD,GW,-88.885478,37.084573,,,,-88.8854780011074,37.0845730138096
9,KY0040228,LACENTER MUNICIPAL WATER CO,A,BALLARD,GW,-88.9736113,37.0761736,,,,-88.9736112644748,37.0761736001171
10,KY0043507,SOUTHLAND RANCH,A,BALLARD,GW,-88.849351,36.976413,,,,-88.8493509943152,36.9764129757011
11,KY0040469,WICKLIFFE MUNICIPAL WATER SYSTEM,A,BALLARD,GW,-89.0910322,36.9648839,,,,-89.0910322112187,36.9648839328263
12,KY0050344,"CAVELAND ENVIRONMENTAL AUTHORITY, INC.",A,BARREN,SWP,-85.9601537,37.1314193,,,,-85.9601537144132,37.1314193141407
13,KY0050929,GLASGOW WATER COMPANY,A,BARREN,SW,-85.914051,36.996847,,,,-85.9140510062223,36.9968470084373
14,KY0060022,BATH COUNTY WATER DISTRICT,A,BATH,SWP,-83.6140274,38.1199859,,,,-83.6140273699709,38.1199858991003
15,KY0060338,OWINGSVILLE WATER WORKS,A,BATH,SWP,-83.7622104,38.1362311,,,,-83.7622104049673,38.1362310733549
16,KY0060392,SHARPSBURG WATER DISTRICT,A,BATH,SWP,-83.930084,38.200551,,,,-83.9300839720024,38.2005509958072
17,KY0070729,BELL COUNTY FORESTRY CAMP,A,BELL,SW,-83.671028,36.734807,,,,-83.6710279900311,36.7348069653999
18,KY0072713,CUMBERLAND GAP NHP/HENSLEY,A,BELL,GW,-83.7231,36.6172,,,,-83.7231000032849,36.6172000256625
19,KY0072714,CUMBERLAND GAP NHP/PINNACLE,A,BELL,GW,-83.7231,36.6172,,,,-83.7231000032849,36.6172000256625
20,KY0073691,FONDE WATER SYSTEM,A,BELL,GWP,-83.6952073,36.7614654,,,,-83.695207313713,36.7614654026465
21,KY0070353,PINEVILLE WATER SYSTEM,A,BELL,SW,-83.6952073,36.7614654,,,,-83.695207313713,36.7614654026465
22,KY0070282,WATER SERVICE CORPORATION OF KENTUCKY,A,BELL,SW,-83.7231,36.6172,,,,-83.7231000032849,36.6172000256625
23,KY0080928,ARLINGHAUS PROPERTY,A,BOONE,GW,-84.7736,39.015,,,,-84.7735999576655,39.0149999882288
24,KY0080976,BIRKLE WATER SUPPLY,A,BOONE,GW,-87.836366,36.862814,,,,-87.8363660336724,36.862814002458
25,KY0080034,BOONE COUNTY WATER & SEWER DISTRICT,A,BOONE,SWP,-84.715043,39.023483,,,,-84.7150430063756,39.0234830051734
26,KY0081013,BOONE-FLORENCE WATER COMMISSION,A,BOONE,SWP,-84.64223,38.9977285,,,,-84.6422299711897,38.9977284656648
27,KY0082411,CAMP MICHAELS DAN BEARD COUNCIL,A,BOONE,GWP,-84.7427883,38.941752,,,,-84.7427882824094,38.9417520180251
28,KY0082081,CAMP TURNABOUT,A,BOONE,GW,-84.6617348,38.9845313,,,,-84.6617348214592,38.9845313266726
29,KY0082082,DUKE ENERGY KY EAST BEND,A,BOONE,GW,-86.3893755,39.7077538,,,,-86.3893754945301,39.7077538131125
30,KY0080135,FLORENCE WATER & SEWER,A,BOONE,SWP,-84.64223,38.9977285,,,,-84.6422299711897,38.9977284656648
31,KY0082592,KELLY ELEMENTARY SCHOOL,A,BOONE,GW,-84.8270387,38.9832178,,,,-84.8270386677926,38.9832177899551
32,KY0082894,POTTERS RANCH,A,BOONE,GW,-84.632367,38.872037,,,,-84.6323670083593,38.8720369954176
33,KY0082242,RIVER RIDGE PARK INC,A,BOONE,GW,-84.824638,38.9599765,,,,-84.8246380100273,38.9599764997375
34,KY0080910,TRAPP WATER COMPANY,A,BOONE,GW,-84.7736,39.015,,,,-84.7735999576655,39.0149999882288
35,KY0080442,WALTON WATERWORKS DEPARTMENT,A,BOONE,SWP,-84.611225,38.866178,,,,-84.6112249784845,38.8661780230496
36,KY0090287,KENTUCKY AMERICAN WATER- MILLERSBURG,A,BOURBON,SWP,-84.4634596,38.0158615,,,,-84.4634595702637,38.0158614771375
37,KY0090343,PARIS WATER WORKS,A,BOURBON,SW,-84.2518636,38.2114715,,,,-84.251863561046,38.2114715216804
38,KY0100011,ASHLAND WATER WORKS,A,BOYD,SW,-82.6127643,38.4535862,,,,-82.612764255976,38.4535862300056
39,KY0100944,BIG SANDY WATER DISTRICT,A,BOYD,SWP,-82.6321,38.3799,,,,-82.632100043309,38.3799000298926
40,KY0100064,CANNONSBURG WATER DISTRICT,A,BOYD,SWP,-82.7173,38.4218,,,,-82.7173000377791,38.4218000114981
41,KY0110097,DANVILLE CITY WATER WORKS,A,BOYLE,SW,-84.7623424,37.6498268,,,,-84.7623423603564,37.6498268245096
42,KY0110345,PARKSVILLE WATER DISTRICT,A,BOYLE,SWP,-84.8896709,37.6018316,,,,-84.8896709162005,37.6018316103905
43,KY0120013,AUGUSTA REGIONAL WTP,A,BRACKEN,GW,-84.0073163,38.7727278,,,,-84.0073162692285,38.7727278114391
44,KY0120039,BRACKEN COUNTY WATER DISTRICT,A,BRACKEN,GWP,-84.0383877,38.6681639,,,,-84.0383877372648,38.6681638964919
45,KY0120044,BROOKSVILLE UTILITY,A,BRACKEN,GWP,-84.0786,38.6644,,,,-84.0786000124746,38.6644000278416
46,KY0131012,BREATHITT COUNTY WATER DISTRICT,A,BREATHITT,SWP,-83.3846042,37.5536587,,,,-83.3846042041083,37.5536587060418
47,KY0130208,JACKSON MUNICIPAL WATER WORKS,A,BREATHITT,SW,-83.3853929,37.5525871,,,,-83.3853929249278,37.5525870976835
48,KY0130949,MT CARMEL HIGH BOARDING SCHOOL,A,BREATHITT,GW,-83.2913,37.4868,,,,-83.291299968471,37.4868000227478
49,KY0140079,CLOVERPORT WATER & SEWER SYSTEM,A,BRECKINRIDGE,GWP,-86.6327573,37.8370036,,,,-86.632757312098,37.8370036119326
50,KY0140966,HARDINSBURG RO WTP,A,BRECKINRIDGE,GW,-86.461016,37.780113,,,,-86.4610159587756,37.7801129684772
51,KY0140206,IRVINGTON WATER SYSTEM,A,BRECKINRIDGE,GWP,-86.2965,37.8762,,,,-86.2965000247779,37.8762000247912
52,KY0150242,LEBANON JUNCTION WATER WORKS,A,BULLITT,SWP,-85.7309386,37.8342247,,,,-85.7309385983704,37.8342247047415
53,KY0150300,MT WASHINGTON WATER COMPANY,A,BULLITT,SWP,-85.5432228,38.0497564,,,,-85.5432227738451,38.049756400838
54,KY0160052,BUTLER COUNTY WATER SYSTEM INC,A,BUTLER,SW,-86.684412,37.224731,,,,-86.6844119680709,37.2247309642706
55,KY0160294,MORGANTOWN WATER SYSTEM,A,BUTLER,SW,-86.6854631,37.2252584,,,,-86.6854630867848,37.2252584250164
56,KY0170528,CALDWELL COUNTY WATER DISTRICT,A,CALDWELL,SWP,-87.8826308,37.1096148,,,,-87.8826307979405,37.1096147990549
57,KY0170146,FREDONIA WATER DEPARTMENT,A,CALDWELL,SWP,-88.059809,37.204948,,,,-88.059809024857,37.2049480225916
58,KY0170360,PRINCETON WATER & SEWER COMMISSION,A,CALDWELL,SW,-87.893041,37.072994,,,,-87.8930410144421,37.0729940057101
59,KY0180509,CENTER RIDGE WATER DISTRICT #2,A,CALLOWAY,GW,-88.111351,36.561652,,,,-88.1113510320933,36.5616520085349
60,KY0180502,CENTER RIDGE WATER DISTRICT #3,A,CALLOWAY,GW,-88.111351,36.561652,,,,-88.1113510320933,36.5616520085349
61,KY0183106,CENTER RIDGE WATER DISTRICT #4,A,CALLOWAY,GW,-88.111351,36.561652,,,,-88.1113510320933,36.5616520085349
62,KY0180549,CENTER RIDGE WATER SYSTEM,A,CALLOWAY,GW,-88.111351,36.561652,,,,-88.1113510320933,36.5616520085349
63,KY0183007,CYPRESS COVE RV PARK LLC,A,CALLOWAY,GW,-88.0955,36.55,,,,-88.0954999894104,36.5499999661333
64,KY0182841,CYPRESS SPRINGS RESORT,A,CALLOWAY,GW,-88.0955,36.55,,,,-88.0954999894104,36.5499999661333
65,KY0180102,DEXTER ALMO HEIGHTS WATER DISTRICT,A,CALLOWAY,GWP,-88.3006075,36.6963059,,,,-88.3006074673308,36.6963058746677
66,KY0182842,KENTUCKY BEACH RESORT,A,CALLOWAY,GW,-88.3032,36.6099,,,,-88.3032000052408,36.6098999773237
67,KY0183626,LAKEVIEW COTTAGES & MARINA,A,CALLOWAY,GW,-88.080418,36.50239,,,,-88.0804179944422,36.5023900209495
68,KY0183132,MISSING HILL RESORT,A,CALLOWAY,GW,-88.075345,36.502289,,,,-88.0753450283698,36.5022889998471
69,KY0183334,MSU HANCOCK BIO STATION,A,CALLOWAY,GW,-88.117164,36.734806,,,,-88.1171640302968,36.7348060295026
70,KY0180308,MURRAY WATER DISTRICT #2,A,CALLOWAY,GWP,-88.3032,36.6099,,,,-88.3032000052408,36.6098999773237
71,KY0180306,MURRAY WATER SYSTEM,A,CALLOWAY,GW,-88.299632,36.607544,,,,-88.2996319867638,36.6075439939567
72,KY0183519,NEW CONCORD DOLLAR GENERAL STORE,A,CALLOWAY,GW,-88.829702,35.682824,,,,-88.8297019644426,35.6828239823019
73,KY0182057,PARADISE RESORT,A,CALLOWAY,GW,-88.3032,36.6099,,,,-88.3032000052408,36.6098999773237
74,KY0183544,SHILOH DOLLAR GENERAL-SUSAN COX,A,CALLOWAY,GW,-88.193711,36.690442,,,,-88.1937110027926,36.6904419799381
75,KY0180185,SOUTH 641 WATER DISTRICT,A,CALLOWAY,GWP,-83.412567,37.8005868,,,,-83.4125669622724,37.800586798398
76,KY0180914,STELLA TRAILER PARK,A,CALLOWAY,GW,-88.40587,36.598347,,,,-88.4058699861988,36.5983470235653
77,KY0182822,SUNSET HARBOR HILL CAMPGROUND,A,CALLOWAY,GW,-88.117343,36.727072,,,,-88.1173429747014,36.7270720320501
78,KY0183715,WESTERN SHORES PAVILION,A,CALLOWAY,GW,-88.301316,36.955301,,,,-88.3013159685954,36.955300977516
79,KY0200009,ARLINGTON WATER DEPARTMENT,A,CARLISLE,GW,-89.012556,36.789275,,,,-89.0125560168187,36.789274994087
80,KY0200018,BARDWELL CITY UTILITIES,A,CARLISLE,GW,-89.011081,36.871756,,,,-89.0110809831222,36.871755994838
81,KY0202008,CARLISLE COUNTY BOARD OF EDUCATION,A,CARLISLE,GW,-88.933981,36.834,,,,-88.9339810077375,36.8340000207394
82,KY0200095,CUNNINGHAM WATER DISTRICT,A,CARLISLE,GW,-88.645187,36.568772,,,,-88.6451870169376,36.5687719964523
83,KY0200284,MILBURN WATER DISTRICT,A,CARLISLE,GWP,-88.885114,36.798358,,,,-88.8851140037543,36.7983580133326
84,KY0203742,TRINITY HOLINESS SCHOOL,A,CARLISLE,GW,-88.88978,36.90756,,,,-88.8897800330031,36.9075599711667
85,KY0210066,CARROLL COUNTY WATER DISTRICT #1,A,CARROLL,GW,-86.955976,36.983606,,,,-86.9559760022268,36.9836059902832
86,KY0210067,CARROLLTON UTILITIES,A,CARROLL,GW,-85.17225,38.677573,,,,-85.1722500025387,38.6775729830137
87,KY0210008,WEST CARROLL WATER DISTRICT - CARROLLTON,A,CARROLL,GWP,-85.17225,38.677573,,,,-85.1722500025387,38.6775729830137
88,KY0210637,GRAYSON UTILITY COMMISSION,A,CARROLL,GWP,-85.17225,38.677573,,,,-85.1722500025387,38.6775729830137
89,KY0210419,WEST CARROLL WATER DISTRICT- HENRY CO #2,A,CARROLL,GWP,-85.17225,38.677573,,,,-85.1722500025387,38.6775729830137
90,KY0222251,CAMP ROBERT C WEBB,A,CARTER,GW,-82.978563,38.24185,,,,-82.9785630007405,38.2418500074238
91,KY0220164,GRAYSON UTILITY COMMISSION,A,CARTER,SW,-82.953066,38.317244,,,,-82.9530660281998,38.3172440250245
92,KY0220335,OLIVE HILL MUNICIPAL WATER WORKS,A,CARTER,SW,-83.2601784,37.9210819,,,,-83.2601783744419,37.9210818793905
93,KY0220555,RATTLESNAKE RIDGE WATER DISTRICT,A,CARTER,SW,-82.970708,38.268743,,,,-82.9707080420646,38.2687430172209
94,KY0230556,EAST CASEY COUNTY WATER DISTRICT,A,CASEY,SWP,-84.943319,37.308695,,,,-84.9433190236203,37.3086949874472
95,KY0230987,LIBERTY WATER WORKS,A,CASEY,SW,-84.957722,37.302162,,,,-84.9577219820652,37.3021619993762
96,KY0240521,CHRISTIAN COUNTY WATER DISTRICT,A,CHRISTIAN,SWP,-87.5105252,36.8832086,,,,-87.5105251612293,36.8832085930063
97,KY0241001,FORT CAMPBELL,A,CHRISTIAN,SWP,-87.460122,36.657133,,,,-87.4601220381103,36.6571330201324
98,KY0240201,HOPKINSVILLE WATER ENVIRONMENT AUTHORITY,A,CHRISTIAN,SW,-87.485001,36.863714,,,,-87.4850009697355,36.8637139769129
99,KY0240329,OAK GROVE UTILITIES OFFICE,A,CHRISTIAN,SWP,-87.4083308,36.672275,,,,-87.4083308382142,36.6722750278312
100,KY0250981,EAST CLARK COUNTY WATER DISTRICT,A,CLARK,SWP,-84.1740185,37.9938218,,,,-84.1740185229646,37.9938218199807
101,KY0250473,WINCHESTER MUNICIPAL UTILITIES,A,CLARK,SW,-84.1749784,37.9970781,,,,-84.1749783728457,37.9970780673034
102,KY0260737,MANCHESTER WATER WORKS,A,CLAY,SW,-83.7589828,37.1633748,,,,-83.7589827581514,37.1633748068994
103,KY0260266,NORTH MANCHESTER WATER ASSOC,A,CLAY,SWP,-83.691984,37.089241,,,,-83.6919839788105,37.089240982953
104,KY0270003,ALBANY WATER WORKS,A,CLINTON,SW,-85.135074,36.6916963,,,,-85.1350740329892,36.6916962922879
105,KY0280267,MARION WATER DEPARTMENT,A,CRITTENDEN,SW,-85.1506834,37.4938221,,,,-85.1506834288606,37.4938221286173
106,KY0290049,BURKESVILLE WATER WORKS,A,CUMBERLAND,SW,-85.3670001,36.7877638,,,,-85.3670000848963,36.7877637866561
107,KY0290271,CUMBERLAND COUNTY WATER DISTRICT,A,CUMBERLAND,SWP,-85.3684521,36.8072952,,,,-85.3684521217216,36.8072951725562
108,KY0300109,E DAVIESS COUNTY WATER ASSOC INC,A,DAVIESS,GWP,-86.91419,37.775858,,,,-86.9141899684707,37.7758580327019
109,KY0300320,NORTH MCLEAN COUNTY WATER DISTRICT,A,DAVIESS,SWP,-87.1347412,37.486796,,,,-87.1347411929242,37.4867960310263
110,KY0300336,OWENSBORO MUNICIPAL UTILITIES,A,DAVIESS,GW,-87.1368769,37.7330183,,,,-87.1368769375122,37.7330182733957
111,KY0300387,S E DAVIESS COUNTY WATER DISTRICT,A,DAVIESS,GWP,-87.160506,37.748953,,,,-87.1605060430826,37.7489529800992
112,KY0300450,WEST DAVIESS COUNTY WATER DISTRICT,A,DAVIESS,GWP,-87.160506,37.748953,,,,-87.1605060430826,37.7489529800992
113,KY0300467,WHITESVILLE WATER WORKS,A,DAVIESS,GWP,-86.871563,37.678535,,,,-86.8715630217771,37.6785350343901
114,KY0310706,BROWNSVILLE MUNICIPAL WATER SYSTEM,A,EDMONSON,SWP,-86.263313,37.1911,,,,-86.2633130242475,37.1910999828799
115,KY0310114,EDMONSON COUNTY WATER DISTRICT,A,EDMONSON,SW,-86.282523,37.204757,,,,-86.2825229576093,37.2047569870289
116,KY0310940,MAMMOTH CAVE/CENTRAL SYSTEM,A,EDMONSON,SWP,-85.958223,37.139236,,,,-85.958222965373,37.1392359934421
117,KY0320383,SANDY HOOK WATER DISTRICT,A,ELLIOTT,GW,-83.121912,38.083793,,,,-83.12191202153,38.0837930323111
118,KY0330123,ESTILL COUNTY WATER DISTRICT,A,ESTILL,SWP,-83.989814,37.699014,,,,-83.9898140332218,37.6990140155008
119,KY0330205,IRVINE MUNICIPAL UTILITIES,A,ESTILL,SW,-83.967987,37.69746,,,,-83.9679870379429,37.6974600260463
120,KY0340965,BLUEGRASS STATION,A,FAYETTE,SWP,-84.32311,38.076447,,,,-84.3231100242079,38.0764470283293
121,KY0340250,KENTUCKY-AMERICAN WATER CO,A,FAYETTE,SW,-84.463238,38.013234,,,,-84.4632379558831,38.0132339862381
122,KY0350133,FLEMING CO WATER ASSOCIATION,A,FLEMING,SWP,-83.736887,38.41132,,,,-83.7368869869395,38.4113200077342
123,KY0350134,FLEMINGSBURG UTILITY SYSTEM,A,FLEMING,SW,-83.73406,38.420912,,,,-83.7340599887404,38.4209120323601
124,KY0351008,GREATER FLEMING CO WT COMM,A,FLEMING,GW,-83.63899,38.625115,,,,-83.6389900245806,38.6251149905158
125,KY0360152,FRANCIS WATER COMPANY,A,FLOYD,GW,-82.833271,37.482846,,,,-82.833271013823,37.4828459754675
126,KY0360272,MARTIN WATER DEPARTMENT,A,FLOYD,SWP,-82.533371,37.868705,,,,-82.5333709715025,37.8687049996313
127,KY0360358,PRESTONSBURG CITY UTILITIES,A,FLOYD,SW,-82.742474,37.669277,,,,-82.7424739761436,37.6692770072717
128,KY0360026,SOUTHERN WATER & SEWER DISTRICT,A,FLOYD,SW,-82.736403,37.456116,,,,-82.7364029817905,37.4561159908331
129,KY0360463,WHEELWRIGHT UTILITY COMMISSION,A,FLOYD,GU,-82.720752,37.335587,,,,-82.7207519939214,37.3355870123238
130,KY0370137,ELKHORN WATER DISTRICT,A,FRANKLIN,SWP,-84.730823,38.050931,,,,-84.7308229923195,38.0509310316946
131,KY0370128,FARMDALE WATER DISTRICT,A,FRANKLIN,SWP,-84.926059,38.14076,,,,-84.9260589734143,38.140760015158
132,KY0370143,FRANKFORT PLANT BOARD,A,FRANKLIN,SW,-84.845929,38.188276,,,,-84.8459289805762,38.188276031569
133,KY0370346,PEAKS MILL WATER DISTRICT,A,FRANKLIN,SWP,-84.730823,38.050931,,,,-84.7308229923195,38.0509310316946
134,KY0380149,FULTON MUNICIPAL WATER SYSTEM,A,FULTON,GW,-88.874553,36.503624,,,,-88.8745529601166,36.5036239986021
135,KY0380193,HICKMAN WATER DEPARTMENT,A,FULTON,GW,-89.17827,36.57036,,,,-89.1782700339108,36.5703600187908
136,KY0390130,GALLATIN COUNTY WATER DISTRICT,A,GALLATIN,GW,-84.853072,38.728945,,,,-84.8530720243894,38.7289450249847
137,KY0390444,WARSAW WATER WORKS,A,GALLATIN,GW,-84.899621,38.784985,,,,-84.8996210156135,38.7849850025797
138,KY0390608,RIVER'S EDGE CAMPGROUND,I,GALLATIN,GW,-84.901195,38.783364,,,,-84.9011950436543,38.7833640016046
139,KY0400151,GARRARD CO WATER ASSOC INC,A,GARRARD,SWP,-84.579393,37.627679,,,,-84.5793929967286,37.6276789998164
140,KY0400233,LANCASTER WATER WORKS,A,GARRARD,SW,-84.58772,37.614786,,,,-84.5877200200863,37.614785994498
141,KY0410047,BULLOCK PEN WATER DISTRICT,A,GRANT,SW,-84.606655,38.783319,,,,-84.6066549791396,38.7833189752188
142,KY0410662,CORINTH WATER DISTRICT,A,GRANT,SWP,-84.565056,38.497411,,,,-84.5650559746256,38.4974110022877
143,KY0410107,DRY RIDGE WATER WORKS COMMISSION,A,GRANT,SWP,-84.593455,38.681708,,,,-84.5934550445232,38.6817080339551
144,KY0410472,WILLIAMSTOWN MUNICIPAL WATER DEPT,A,GRANT,SW,-84.559605,38.64072,,,,-84.5596049974816,38.6407199849875
145,KY0420084,GRAVES CO WATER DIST - CONSUMERS,A,GRAVES,GWP,-88.633066,36.741841,,,,-88.6330659589775,36.7418409916509
