__OBJECTID,County,Sample Location,Latitude,Longitude,Sample ID,Collection Date,Received,Sample Type,PFBS,HFPO-DA,PFHpA,PFHxS,ADONA,PFOA,PFOS,PFNA,Total PFAS,attribute_17,attribute_18,attribute_19,attribute_20,attribute_21,x,y
1,Christian,Quarles Spring Branch,36.66402,-87.524323,AR02449,9/1/2020,9/2/2020,DW,13.7,ND,12,135,ND,13.4,249,1.29,424.39,,,,,,-87.5243230144988,36.6640200244507
2,Christian,Quarles Spring Branch,36.66402,-87.524323,AR02451,9/1/2020,9/2/2020,NP,ND,ND,ND,100,ND,ND,206,ND,306,,,,,,-87.5243230144988,36.6640200244507
3,Jefferson,Duck Spring Branch,38.15366,-85.7422,AR01796,7/6/2020,7/7/2020,DW,6.35,ND,17.6,46.3,ND,13.8,95.1,2.85,182,,,,,,-85.7421999686037,38.1536600233791
4,Henderson,Canoe Creek- Downstream,37.817069,-87.611276,AR02491,8/31/2020,9/2/2020,DW,3.83,ND,47.1,1.1,ND,36.6,5.32,29,122.95,,,,,,-87.6112759814143,37.8170689906395
5,Fayette,UT to North Elkhorn Creek,38.0858,-84.3561,AR01825,7/9/2020,7/10/2020,DW,14.3,ND,20.4,14,ND,31.2,6.34,2.4,88.64,,,,,,-84.3561000241964,38.0858000301108
6,Union,Casey Creek,37.714444,-87.767825,AR02471,8/31/2020,9/2/2020,DW,11.8,ND,5.41,4.79,ND,8.36,21.8,2.56,54.72,,,,,,-87.7678250266517,37.7144440317283
7,Marshall,Cypress Creek,37.029583,-88.412982,AR02461,9/1/2020,9/2/2020,DW,1.88,ND,ND,2.91,ND,5.45,5.41,37.6,53.25,,,,,,-88.4129820381347,37.029583010684
8,Madison,Walnut Meadow Branch,37.593586,-84.324318,AR01837,7/9/2020,7/10/2020,DW,3.2,ND,1.35,2.3,ND,3.25,20.5,ND,30.6,,,,,,-84.3243179887704,37.593586011987
9,McCracken,Clarks River,36.995971,-88.563001,AR02457,9/1/2020,9/2/2020,DW,1.52,8.29,10.7,ND,ND,1.84,2.34,3.01,27.7,,,,,,-88.5630009600773,36.9959709893293
10,Henderson,Canoe Creek- Upstream,37.803756,-87.62792,AR02475,8/31/2020,9/2/2020,DW,3.05,ND,3.87,1.25,ND,6.03,5.05,3.9,23.15,,,,,,-87.6279199669985,37.8037559993965
11,Jessamine,West Hickman Creek,37.934467,-84.502258,AR01829,7/9/2020,7/10/2020,DW,4.23,ND,2.24,2.31,ND,6.93,5.63,ND,21.34,,,,,,-84.5022579870478,37.9344670020503
12,Barren,South Fork Beaver Creek,36.98064,-85.96819,AR02265,8/18/2020,8/19/2020,DW,4.73,ND,2.47,1.2,ND,4.17,2.87,2.85,18.29,,,,,,-85.9681900429449,36.9806400260917
13,Pulaski,Sinking Creek,37.050133,-84.603198,AR02215,8/17/2020,8/18/2020,DW,5.14,ND,1.27,2.31,ND,2.29,5.34,ND,16.35,,,,,,-84.6031979924317,37.0501330246243
14,Hardin,Valley Creek,37.639785,-85.907583,AR01788,7/6/2020,7/7/2020,DW,3.12,ND,1.49,0.989,ND,2.93,3.75,2.22,14.499,,,,,,-85.9075829565136,37.6397850172169
15,Greenup,East Fork Little Sandy River,38.474656,-82.760696,AR02161,8/10/2020,8/11/2020,DW,1.36,3.34,1.36,1.27,ND,4.1,1.89,ND,13.32,,,,,,-82.7606960321874,38.4746560154293
16,Hopkins,Elk Creek,37.38567,-87.41225,AR02467,8/31/2020,9/2/2020,DW,4.23,ND,1.76,ND,ND,2.17,2.37,1.22,11.75,,,,,,-87.4122500081358,37.3856699951541
17,Christian,West Fork Red River,36.651642,-87.377656,AR02445,9/1/2020,9/2/2020,DW,1.6,ND,ND,1.88,ND,1.36,3.6,ND,8.44,,,,,,-87.3776559763759,36.6516419851324
18,Graves,Mayfield Creek,36.856035,-88.633462,AR02453,9/1/2020,9/2/2020,DW,ND,ND,3.35,ND,ND,ND,1.64,2.56,7.55,,,,,,-88.6334620261862,36.8560350330113
19,McLean,Buck Creek,37.510696,-87.159354,AR02479,8/31/2020,9/2/2020,DW,2.21,ND,1.27,ND,ND,1.15,1.05,ND,5.68,,,,,,-87.1593540435622,37.5106959900041
20,Simpson,West Fork Drakes Creek,36.7739,-86.5419,AR02257,8/18/2020,8/19/2020,DW,1.55,ND,ND,ND,ND,1.25,2.7,ND,5.5,,,,,,-86.5418999974631,36.773900021047
21,Hopkins,Pond River,37.317286,-87.369112,AR02487,8/31/2020,9/2/2020,DW,1.29,ND,ND,ND,ND,1.05,1.6,1.26,5.2,,,,,,-87.3691120098771,37.3172859708527
22,Harrison,South Fork Licking River,38.378386,-84.30379,AR01817,7/9/2020,7/10/2020,DW,ND,ND,ND,ND,ND,1.82,3.12,ND,4.94,,,,,,-84.3037899573923,38.3783859850918
23,Ohio,Muddy Creek,37.43484,-86.88578,AR02483,8/31/2020,9/2/2020,DW,1.66,ND,ND,ND,ND,1.66,1.13,ND,4.45,,,,,,-86.8857800289581,37.434839978089
24,Boyd,Big Sandy River,38.404387,-82.5959,AR02165,8/10/2020,8/11/2020,DW,ND,ND,ND,ND,ND,1.24,2.3,ND,3.54,,,,,,-82.5959000034842,38.4043870275583
25,Madison,Harts Fork,37.678858,-84.278292,AR01833,7/9/2020,7/10/2020,DW,ND,ND,ND,ND,ND,1.54,1.53,ND,3.07,,,,,,-84.2782919967048,37.6788580291507
26,Laurel,Laurel River,37.05951,-83.9988,AR02209,8/17/2020,8/18/2020,DW,ND,ND,ND,ND,ND,0.983,1.7,ND,2.683,,,,,,-83.9987999708404,37.0595099777247
27,Breathitt,North Fork Kentucky River,37.534211,-83.34811,AR01841,7/9/2020,7/10/2020,DW,ND,ND,ND,ND,ND,ND,1.58,ND,1.58,,,,,,-83.3481099660279,37.5342109652668
28,Warren,Barren River,37.017986,-86.472211,AR02261,8/17/2020,8/18/2020,DW,ND,ND,ND,ND,ND,ND,1.16,ND,1.16,,,,,,-86.4722110333409,37.0179859977876
29,Knox,Cumberland River,36.8358,-83.81198,AR02223,8/17/2020,8/18/2020,DW,ND,ND,ND,ND,ND,ND,1.06,ND,1.06,,,,,,-83.8119800361479,36.8357999904758
30,Greenup,Little Sandy River,38.49046,-82.83418,AR02157,8/10/2020,8/11/2020,DW,ND,ND,ND,ND,ND,1.01,ND,ND,1.01,,,,,,-82.834180019059,38.4904599925486
31,Barren,South Fork Beaver Creek,36.98064,-85.96819,AR02267,8/18/2020,8/19/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-85.9681900429449,36.9806400260917
32,Boyd,Big Sandy River,38.404387,-82.5959,AR02167,8/10/2020,8/11/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-82.5959000034842,38.4043870275583
33,Breathitt,North Fork Kentucky River,37.534211,-83.34811,AR01843,7/9/2020,7/10/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-83.3481099660279,37.5342109652668
34,Christian,West Fork Red River,36.651642,-87.377656,AR02447,9/1/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-87.3776559763759,36.6516419851324
35,Fayette,UT to North Elkhorn Creek,38.0858,-84.3561,AR01827,7/9/2020,7/10/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.3561000241964,38.0858000301108
36,Floyd,Levisa Fork- Downstream,37.613282,-82.727148,AR02169,8/10/2020,8/11/2020,DW,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-82.7271479987443,37.613281974444
37,Floyd,Levisa Fork- Downstream,37.613282,-82.727148,AR02171,8/10/2020,8/11/2020,DW,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-82.7271479987443,37.613281974444
38,Graves,Mayfield Creek,36.856035,-88.633462,AR02455,9/1/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-88.6334620261862,36.8560350330113
39,Greenup,East Fork Little Sandy River,38.474656,-82.760696,AR02163,8/10/2020,8/11/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-82.7606960321874,38.4746560154293
40,Greenup,Little Sandy River,38.49046,-82.83418,AR02159,8/10/2020,8/11/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-82.834180019059,38.4904599925486
41,Harrison,South Fork Licking River,38.378386,-84.30379,AR01819,7/9/2020,7/10/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.3037899573923,38.3783859850918
42,Henderson,Canoe Creek- Downstream,37.817069,-87.611276,AR02493,8/31/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-87.6112759814143,37.8170689906395
43,Henderson,Canoe Creek- Upstream,37.803756,-87.62792,AR02477,8/31/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-87.6279199669985,37.8037559993965
44,Hopkins,Elk Creek,37.38567,-87.41225,AR02469,8/31/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-87.4122500081358,37.3856699951541
45,Hopkins,Pond River,37.317286,-87.369112,AR02489,8/31/2020,9/2/2020,NP-NO DATA,,,,,,,,,0,,,,,,-87.3691120098771,37.3172859708527
46,Jessamine,West Hickman Creek,37.934467,-84.502258,AR01831,7/9/2020,7/10/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.5022579870478,37.9344670020503
47,Knox,Cumberland River,36.8358,-83.81198,AR02225,8/17/2020,8/18/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-83.8119800361479,36.8357999904758
48,Laurel,Laurel River,37.05951,-83.9988,AR02211,8/17/2020,8/18/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-83.9987999708404,37.0595099777247
49,Madison,Harts Fork,37.678858,-84.278292,AR01835,7/9/2020,7/10/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.2782919967048,37.6788580291507
50,Madison,Walnut Meadow Branch,37.593586,-84.324318,AR01839,7/9/2020,7/10/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.3243179887704,37.593586011987
51,Marshall,Cypress Creek,37.029583,-88.412982,AR02463,9/1/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-88.4129820381347,37.029583010684
52,McCracken,Clarks River,36.995971,-88.563001,AR02459,9/1/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-88.5630009600773,36.9959709893293
53,McCreary,Big South Fork Cumberland River,36.699838,-84.53691,AR02219,8/17/2020,8/18/2020,DW,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.5369099601436,36.6998379840688
54,McCreary,Big South Fork Cumberland River,36.699838,-84.53691,AR02221,8/17/2020,8/18/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.5369099601436,36.6998379840688
55,McLean,Buck Creek,37.510696,-87.159354,AR02481,8/31/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-87.1593540435622,37.5106959900041
56,Ohio,Muddy Creek,37.43484,-86.88578,AR02485,8/31/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-86.8857800289581,37.434839978089
57,Pike,Levisa Fork - Upstream,37.40698,-82.44326,AR02173,8/10/2020,8/11/2020,DW,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-82.4432599772056,37.4069800320881
58,Pike,Levisa Fork - Upstream,37.40698,-82.44326,AR02175,8/10/2020,8/11/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-82.4432599772056,37.4069800320881
59,Pulaski,SInking Creek,37.050133,-84.603198,AR02217,8/17/2020,8/18/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.6031979924317,37.0501330246243
60,Rowan,North Fork Triplett Creek,38.209213,-83.467257,AR01821,7/9/2020,7/10/2020,DW,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-83.4672570255903,38.2092130231287
61,Rowan,North Fork Triplett Creek,38.209213,-83.467257,AR01823,7/9/2020,7/10/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-83.4672570255903,38.2092130231287
62,Simpson,West Fork Drakes Creek,36.7739,-86.5419,AR02259,8/18/2020,8/19/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-86.5418999974631,36.773900021047
63,Union,Casey Creek,37.714444,-87.767825,AR02473,8/31/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-87.7678250266517,37.7144440317283
64,Warren,Barren River,37.017986,-86.472211,AR02263,8/17/2020,8/18/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-86.4722110333409,37.0179859977876
